:nemesis	:info	:start-partition	:majorities-ring
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:invoke	:generate	nil
:nemesis	:info	:start-partition	[:isolated {"n0" #{"n2"}, "n2" #{"n1"}, "n1" #{"n0"}}]
2	:ok	:generate	8589934592
1	:ok	:generate	4294967296
1	:invoke	:generate	nil
0	:ok	:generate	0
1	:ok	:generate	8589934592
1	:invoke	:generate	nil
1	:ok	:generate	17179869184
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	17179869184
0	:ok	:generate	0
0	:invoke	:generate	nil
0	:ok	:generate	0
1	:invoke	:generate	nil
1	:ok	:generate	34359738368
2	:invoke	:generate	nil
2	:ok	:generate	34359738368
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	0
1	:ok	:generate	68719476736
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	137438953472
0	:invoke	:generate	nil
2	:ok	:generate	68719476736
0	:ok	:generate	0
0	:invoke	:generate	nil
0	:ok	:generate	0
1	:invoke	:generate	nil
1	:ok	:generate	274877906944
2	:invoke	:generate	nil
2	:ok	:generate	137438953472
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	0
2	:invoke	:generate	nil
1	:ok	:generate	549755813888
0	:invoke	:generate	nil
2	:ok	:generate	274877906944
1	:invoke	:generate	nil
0	:ok	:generate	0
0	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	1099511627776
0	:ok	:generate	0
2	:ok	:generate	549755813888
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	1099511627776
0	:ok	:generate	0
0	:invoke	:generate	nil
0	:ok	:generate	0
1	:invoke	:generate	nil
1	:ok	:generate	2199023255552
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	2199023255552
0	:ok	:generate	0
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	0
1	:ok	:generate	4398046511104
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	4398046511104
0	:ok	:generate	0
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	0
1	:ok	:generate	8796093022208
2	:invoke	:generate	nil
2	:ok	:generate	8796093022208
0	:invoke	:generate	nil
0	:ok	:generate	0
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	0
1	:ok	:generate	17592186044416
0	:invoke	:generate	nil
2	:ok	:generate	17592186044416
1	:invoke	:generate	nil
0	:ok	:generate	0
1	:ok	:generate	35184372088832
1	:invoke	:generate	nil
1	:ok	:generate	70368744177664
2	:invoke	:generate	nil
2	:ok	:generate	35184372088832
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	140737488355328
0	:ok	:generate	0
2	:ok	:generate	70368744177664
2	:invoke	:generate	nil
2	:ok	:generate	140737488355328
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	0
1	:ok	:generate	281474976710656
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	562949953421312
0	:invoke	:generate	nil
2	:ok	:generate	281474976710656
1	:invoke	:generate	nil
0	:ok	:generate	0
1	:ok	:generate	1125899906842624
1	:invoke	:generate	nil
1	:ok	:generate	2251799813685248
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	562949953421312
0	:ok	:generate	0
1	:ok	:generate	4503599627370496
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	9007199254740992
2	:ok	:generate	1125899906842624
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	0
2	:invoke	:generate	nil
1	:ok	:generate	18014398509481984
2	:ok	:generate	2251799813685248
2	:invoke	:generate	nil
2	:ok	:generate	4503599627370496
0	:invoke	:generate	nil
0	:ok	:generate	0
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	0
2	:invoke	:generate	nil
1	:ok	:generate	36028797018963968
2	:ok	:generate	9007199254740992
0	:invoke	:generate	nil
0	:ok	:generate	0
0	:invoke	:generate	nil
0	:ok	:generate	0
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	72057594037927936
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	18014398509481984
0	:ok	:generate	0
1	:ok	:generate	144115188075855872
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	288230376151711744
2	:ok	:generate	36028797018963968
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	0
1	:ok	:generate	576460752303423488
2	:ok	:generate	72057594037927936
2	:invoke	:generate	nil
2	:ok	:generate	144115188075855872
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	0
2	:invoke	:generate	nil
1	:ok	:generate	1152921504606846976
2	:ok	:generate	288230376151711744
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	576460752303423488
0	:ok	:generate	0
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	0
2	:invoke	:generate	nil
1	:ok	:generate	2305843009213693952
2	:ok	:generate	1152921504606846976
0	:invoke	:generate	nil
1	:invoke	:generate	nil
1	:ok	:generate	4611686018427387904
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	9223372036854775808N
2	:ok	:generate	2305843009213693952
1	:invoke	:generate	nil
2	:invoke	:generate	nil
2	:ok	:generate	4611686018427387904
2	:invoke	:generate	nil
2	:ok	:generate	9223372036854775808N
2	:invoke	:generate	nil
2	:ok	:generate	0
2	:invoke	:generate	nil
:nemesis	:info	:stop-partition	nil
:nemesis	:info	:stop-partition	:network-healed
0	:info	:generate	nil	:net-timeout
